Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages
2012,Internacional,"Barseghyan, MG; Hakimyfard, Alireza; Kirakosyan, AA; Mora-Ramos, ME; Duque, CA; ",Superlattices and Microstructures,51,119,0749-6036,Hydrostatic pressure and electric and magnetic field effects on the binding energy of a hydrogenic donor impurity in InAs Pöschl–Teller quantum ring,,,GMC: Grupo de Materia Condensada,10.1140/epjb/e2011-20650-7,,,Carlos Duque Echeverri,A2,"-1,0",,9
2007,Internacional,"Rodríguez‐Vargas, I; Duque, CA; Mora‐Ramos, ME; Velasco, VR; ",physica status solidi(c),4,415,1862-6351,Hole subband structure in single and double p‐type δ‐doped diamond quantum wells,,,GMC: Grupo de Materia Condensada,10.1002/pssc.200673256,,,Carlos Duque Echeverri,C,"-1,0",,3
2001,Nacional,"López, SY; Morales, AL; Montes, A; Duque, CA; ",Revista Colombiana de Física,33,,0120-2650,"EFFECT OF THE Γ-X CROSSOVER ON THE BINDING ENERGY OF SHALLOW-DONOR IMPURITIES IN RECTANGULAR GAAS-(GA, AL) AS QUANTUM DOTS",,,GES: Estado Sólido; GMC: Grupo de Materia Condensada,Not DOI,,,Morales Aramburo Álvaro; Carlos Duque Echeverri,B,"-1,0",,
2004,Internacional,"Raigoza, N; Morales, AL; Montes, A; Porras-Montenegro, N; Duque, CA; ",Physical Review B,69,45323,1098-0121,"Semiconductors II: Surfaces, interfaces, microstructures, and related topics-Stress effects on shallow-donor impurity states in symmetrical GaAs/AlxGa1-xAs double quantum wells",,,GES: Estado Sólido; GMC: Grupo de Materia Condensada,Not DOI,,,Morales Aramburo Álvaro; Carlos Duque Echeverri,A1,"3,322",,1
2008,Internacional,"Barticevic, Zdenka; Pacheco, Monica; Duque, Carlos A; Oliveira, Luiz E; ",APS March Meeting Abstracts,1,1191,0000-0000,Magneto-exciton transitions in laterally coupled quantum dots,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,00,"-1,0",,-1
2007,Nacional,"Ospina, Walter; Restrepo, Ricardo; Aristizábal, Parménides; Duque, Carlos A; ",Scientia et Technica,1,,0122-1701,Efectos de la presión hidrostática sobre la energía de enlace para impurezas donadoras en puntos cuánticos de gaas/ga al as,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,C,"-1,0",,
2005,Nacional,"Vásquez, JC; Montes, A; Morales, AL; Duque, CA; ",Revista Colombiana de Física,37,34,0120-2650,Energía de enlace para una impureza donadora poco profunda en hilos cuánticos rectangulares de GaAs bajo presión hidrostática,,,GES: Estado Sólido; GMC: Grupo de Materia Condensada,Not DOI,,,Morales Aramburo Álvaro; Carlos Duque Echeverri,B,"-1,0",,-1
2007,Internacional,"Rodríguez, Arezky H; Duque, CA; Trallero-Giner, C; Vázquez, GJ; del Castillo-Mussot, M; Porras-Montenegro, N; ",Physica Status Solidi B-Basic Research,244,48,0370-1972,basic solid state physics,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"1,166",,5
2005,Internacional,"Fajardo, A; Morales, AL; Duque, C; ",SPECIAL PUBLICATION-ROYAL SOCIETY OF CHEMISTRY,300,156,0260-6291,Flavor Studies on Some Amazonian Fruits 1. Free and Bound Volatles of Cocona (Solanum sessiliflorum Dunal) Pulp Fruit,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,00,"-1,0",,8
2004,Internacional,"Oyoko, H Odhiambo; Duque, C; Porras-Montenegro, N; ",Indian Journal of Pure and Applied Physics,42,908,0000-0000,Theoretical study of the effect of applied stress on the binding energy of a donor impurity in GaAs quantum well dot within an infinite potential barrier,,,,Not DOI,,,,00,"-1,0",,4
2007,Internacional,"Dios-Leyva, M de; Duque, CA; Oliveira, LE; ",Physical Review B,75,35303,1098-0121,"Semiconductors II: Surfaces, interfaces, microstructures, and related topics-Effects of crossed electric and magnetic fields on the electronic and excitonic states in bulk GaAs and GaAs/Ga1-xAlxAs quantum wells",,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"3,322",,-1
2011,Internacional,"Duque, CA; Mora-Ramos, ME; Kasapoglu, E; Sari, H; Sökmen, I; ",European Physical Journal B,81,441,1434-6028,Intense laser field effect on impurity states in a semiconductor quantum well: transition from the single to double quantum well potential,,,GMC: Grupo de Materia Condensada,10.1140/epjb/e2011-20265-0,,,Carlos Duque Echeverri,A1,"1,575",,9
2007,Internacional,"Morales, AL; Leon, LA; Raigoza, N; Duque, Carlos Alberto; Kuriplach, Jan; Hou, Marc; ",physica status solidi(c),4,3534,1862-6351,Positron annihilation in structural vacancies in Al‐rich NiAl alloys,,,GES: Estado Sólido; GMC: Grupo de Materia Condensada,10.1002/pssc.200675830,,,Morales Aramburo Álvaro; Carlos Duque Echeverri,C,"-1,0",,4
2011,Internacional,"Duque, CM; Mora-Ramos, ME; Duque, CA; ",Journal of Nanoparticle Research,13,6103,1388-0764,"Simultaneous effects of electron-hole correlation, hydrostatic pressure, and temperature on the third harmonic generation in parabolic GaAs quantum dots",,,GMC: Grupo de Materia Condensada,10.1007/s11051-011-0348-5,,,Carlos Duque Echeverri,A1,"3,25",,10
2002,Internacional,"Oliveira, LE; Duque, CA; Porras‐Montenegro, N; ",physica status solidi (a),190,731,1862-6300,"A Theoretical Study of the Terahertz Dynamics of Magnetoexcitons in GaAs–(Ga, Al) As Quantum Wells",,,GMC: Grupo de Materia Condensada,10.1002/1521-396x(200204)190:3<731::aid-pssa731>3.0.co;2-r,,,Carlos Duque Echeverri,A1,"1,205",,4
2011,Internacional,"Escorcia-Garcia, J; Duque, CA; Mora-Ramos, ME; ",Superlattices and Microstructures,49,203,0749-6036,Optical properties of hybrid periodic/quasiregular dielectric multilayers,,,GMC: Grupo de Materia Condensada,10.1016/j.spmi.2010.08.006,,,Carlos Duque Echeverri,A2,"-1,0",,6
2007,Internacional,"Rodriguez, Arezky H; Duque, CA; Trallero‐Giner, C; Vázquez, GJ; Castillo‐Mussot, M del; Porras‐Montenegro, N; ",Physica Status Solidi B-Basic Research,244,48,0370-1972,Effect of applied hydrostatic pressure on the e–h ground transition in self‐assembled InAs/GaAs quantum lens,,,GMC: Grupo de Materia Condensada,10.1002/pssb.200672509,,,Carlos Duque Echeverri,A1,"1,166",,5
2003,Internacional,"Barticevic, Z; Pacheco, M; Duque, CA; Oliveira, LE; ",Physical Review B,68,73312,1098-0121,"Semiconductors II: Surfaces, interfaces, microstructures, and related topics-Magnetic-field effects on excitons trapped in quantum dots/interface defects in narrow quantum wells (4",,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"3,322",,1
2005,Nacional,"Garzón, Diego Alexander; Roa, Máximo Alejandro; Duque, Carlos Alberto; ",Ingeniería e Investigación,25,22,0000-0000,Análisis del regeneramiento óseo bajo el esquema de optimización topológica,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,00,"-1,0",,8
2011,Internacional,"Miranda, Guillermo L; Restrepo, RL; Duque, CA; ",Superlattices and Microstructures,49,269,0749-6036,"Combined effects of electric field and hydrostatic pressure on electron states in asymmetric GaAs/(Ga, Al) triple quantum dots",,,GMC: Grupo de Materia Condensada,10.1016/j.spmi.2010.08.003,,,Carlos Duque Echeverri,A2,"-1,0",,6
2011,Internacional,"Tangarife, E; Duque, CA; ",Physica B,406,952,0921-4526,Simultaneous effects of hydrostatic pressure and electric field on impurity binding energy and polarizability in coupled InAs/GaAs quantum wires,,,GMC: Grupo de Materia Condensada,10.1016/j.physb.2010.12.035,,,Carlos Duque Echeverri,A1,"0,856",,5
2008,Internacional,"Aristizábal, P; Restrepo, RL; Ospina, W; Duque, CA; ",Microelectronics Journal,39,1261,0026-2692,Hydrostatic pressure effects on the binding and transition energies for Wannier excitons in GaAs/Ga1-xAlxAs quantum wells,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A2,"0,859",,3
2008,Nacional,"Mantilla González, Juan Miguel; Galeano, Carlos; Acevedo, Helmer; Duque, Carlos Alberto; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,18,0120-6230,Implementation of a bus with natural gas articulated motor in Colombia's massive transportation system: A technical study,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"-1,0",,15
1997,Internacional,"Duque, CA; Porras-Montenegro, N; ",Brazilian Journal of Physics,27,206,0103-9733,Impurity Excited States in GaAs Low Dimensional Systems Under Applied Electric Fields,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A2,"0,512",,5
2009,Internacional,"Mantilla, Juan; Acevedo, Helmer; Duque, Carlos; Galeano, Carlos; Carrion, Sergio; ",Dyna,76,61,0930-7575,COSTS PROJECTION FOR A NATURAL GAS ARTICULATED BUS TO BE USED IN COLOMBIA S MASSIVE TRANSPORTATION SYSTEMS,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"4,046",,10
2011,Internacional,"Tangarife, E; Mora-Ramos, ME; Duque, CA; ",Superlattices and Microstructures,49,275,0749-6036,Donor impurity states in coupled quantum well wires under hydrostatic pressure and applied electric field,,,GMC: Grupo de Materia Condensada,10.1016/j.spmi.2010.05.004,,,Carlos Duque Echeverri,A2,"-1,0",,4
2011,Internacional,"Barseghyan, MG; Hakimyfard, Alireza; Zuhair, Marwan; Duque, CA; Kirakosyan, AA; ",Physica E: Low-Dimensional Systems and Nanostructures,44,419,1386-9477,Binding energy of hydrogen-like donor impurity and photoionization cross-section in InAs Pöschl–Teller quantum ring under applied magnetic field,,,GMC: Grupo de Materia Condensada,10.1016/j.physe.2011.09.013,,,Carlos Duque Echeverri,A1,"1,304",,6
2010,Internacional,"Restrepo, RL; Miranda, GL; Duque, CA; ",Journal of materials science,45,5045,0022-2461,Electronic states in double quantum well-wires with potential W-profile: combined effects of hydrostatic pressure and electric field,,,GMC: Grupo de Materia Condensada,10.1007/s10853-010-4334-6,,,Carlos Duque Echeverri,A1,"1,471",,9
1999,Internacional,"Duque, CA; Montes, A; Porras-Montenegro, N; Oliveira, LE; ",Journal of Physics D-Applied Physics,32,3111,0022-3727,PAPERS-APPLIED INTERFACES AND SURFACES-Density of impurity states and donor-related optical absorption spectra of GaAs-(GaAI) As semiconductor heterostructures,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"2,104",,6
2011,Internacional,"Karabulut, I; Duque, CA; ",Physica E: Low-Dimensional Systems and Nanostructures,43,1405,1386-9477,Nonlinear optical rectification and optical absorption in GaAs–Ga 1− x Al x As double quantum wells under applied electric and magnetic fields,,,GMC: Grupo de Materia Condensada,10.1016/j.physe.2011.03.013,,,Carlos Duque Echeverri,A1,"1,304",,6
2010,Internacional,"Barseghyan, MG; Hakimyfard, Alireza; López, SY; Duque, CA; Kirakosyan, AA; ",Physica E: Low-Dimensional Systems and Nanostructures,43,529,1386-9477,"Hydrostatic pressure, temperature and electric field effects on donor binding energy in Pöschl–Teller quantum well",,,GMC: Grupo de Materia Condensada,10.1016/j.physe.2010.09.006,,,Carlos Duque Echeverri,A1,"1,177",,5
2005,Nacional,"Correa, JD; Cepeda-Giraldo, O; Porras-Montenegro, N; Duque, CA; ",Revista Colombiana de Física,37,179,0120-2650,"Sección de cruce de fotoionización en hilos cuánticos de GaAs-(Ga, Al) As: efectos de presión hidrostática",,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,B,"-1,0",,-1
2011,Internacional,"Duque, CA; Mora-Ramos, ME; Barseghyan, MG; ",Superlattices and Microstructures,50,480,0749-6036,"Electronic states in a Pöschl–Teller-like quantum well: Combined effects of electric field, hydrostatic pressure, and temperature",,,GMC: Grupo de Materia Condensada,10.1016/j.spmi.2011.08.010,,,Carlos Duque Echeverri,A2,"-1,0",,11
2012,Internacional,"Mora-Ramos, ME; Duque, CA; Kasapoglu, E; Sari, H; Sökmen, I; ",Journal of Luminescence,132,901,0022-2313,Linear and nonlinear optical properties in a semiconductor quantum well under intense laser radiation: Effects of applied electromagnetic fields,,,GMC: Grupo de Materia Condensada,10.1016/j.jlumin.2011.11.008,,,Carlos Duque Echeverri,A1,"2,102",,13
2008,Internacional,"Vargas, J; Raigoza, N; Morales, AL; Duque, CA; Reyes-Gómez, E; ",Superlattices and Microstructures,44,809,0749-6036,Effects of hydrostatic pressure on the Coulomb-bound states in GaAs–Ga 1− x Al x As semiconductor superlattices,,,GES: Estado Sólido; GMC: Grupo de Materia Condensada,10.1016/j.spmi.2008.09.009,,,Morales Aramburo Álvaro; Carlos Duque Echeverri; Reyes Gómez Ernesto Amador,A2,"-1,0",,5
2007,Internacional,"GALEANO, CARLOS; Mantilla, Juan; DUQUE, CARLOS; MEJÍA, MANUEL; ",Dyna,74,313,0930-7575,Herramientas de software con licencia pública general para el modelado por elementos finitos,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"4,046",,12
2010,Internacional,"Mora-Ramos, ME; Barseghyan, MG; Duque, CA; ",Physica E: Low-Dimensional Systems and Nanostructures,43,338,1386-9477,Excitons in cylindrical GaAs Pöschl–Teller quantum dots: Hydrostatic pressure and temperature effects,,,GMC: Grupo de Materia Condensada,10.1016/j.physe.2010.08.007,,,Carlos Duque Echeverri,A1,"1,177",,7
2010,Nacional,"Duque, Carlos; Montes, Consuelo; Bustamante, Felipe; Ortiz, Alejandro; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,49,0120-6230,Simulation of two alternatives for SO2 removal from wet cement kiln exhaust gases,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"-1,0",,9
2004,Internacional,"Duque, CA; Barticevic, Z; Pacheco, M; Oliveira, LE; ",Physica Status Solidi B-Basic Research,241,2434,0370-1972,Exciton mixing and internal transitions of neutral magnetoexcitons in quantum wells,,,GMC: Grupo de Materia Condensada,10.1002/pssb.200404902,,,Carlos Duque Echeverri,A1,"1,166",,6
2005,Nacional,"Porras-Montenegro, N; Duque, CA; López, SY; ",Revista Colombiana de Física,37,130,0120-2650,"Absorción óptica relativa a impurezas donadoras en pozos cuánticos de GaAs-(Ga, Al) As bajo efectos de presión hidrostática",,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,B,"-1,0",,4
2011,Internacional,"Ungan, F; Kasapoglu, E; Duque, CA; Sari, H; Sokmen, I; ",Physica E: Low-Dimensional Systems and Nanostructures,44,515,1386-9477,The effect of the intense laser field on the intersubband transitions in Ga 1− x In x N y As 1− y/GaAs single quantum well,,,GMC: Grupo de Materia Condensada,10.1016/j.physe.2011.10.002,,,Carlos Duque Echeverri,A1,"1,304",,6
2010,Internacional,"Porras-Montenegro, N; Duque, CA; ",Physica E: Low-Dimensional Systems and Nanostructures,42,1865,1386-9477,Temperature and hydrostatic pressure effects on the photonic band structure of a 2D honeycomb lattice,,,GMC: Grupo de Materia Condensada,10.1016/j.physe.2010.02.016,,,Carlos Duque Echeverri,A1,"1,177",,5
2012,Internacional,"Duque, CA; Mora‐Ramos, ME; Kasapoglu, E; Sari, H; Sökmen, I; ",Physica Status Solidi B-Basic Research,249,118,0370-1972,Combined effects of intense laser field and applied electric field on exciton states in GaAs quantum wells: transition from the single to double quantum well,,,GMC: Grupo de Materia Condensada,10.1002/pssb.201147250,,,Carlos Duque Echeverri,A1,"1,316",,10
2012,Internacional,"Martínez-Orozco, JC; Mora-Ramos, ME; Duque, CA; ",Journal of Luminescence,132,449,0022-2313,Nonlinear optical rectification and second and third harmonic generation in GaAs δ-FET systems under hydrostatic pressure,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"2,102",,8
2003,Internacional,"Barticevic, Z; Pacheco, M; Duque, CA; Oliveira, LE; ",Physica B,340,1090,0921-4526,Exciton trapping in interface defects/quantum dots in narrow quantum wells: magnetic-field effects,,,GMC: Grupo de Materia Condensada,10.1016/j.physb.2003.09.181,,,Carlos Duque Echeverri,A1,"0,822",,4
2006,Internacional,"Vinck, Herbert; Rodriguez, Boris A; Gonzalez, Augusto; ",Physica E: Low-Dimensional Systems and Nanostructures,35,99,1386-9477,A multiexcitonic quantum dot in an optical microcavity,,,GFAM: Grupo de Física Atómica y Molecular,10.1016/j.physe.2006.06.019,,,Rodríguez Rey Boris Anghelo,A1,"1,23",,4
2008,Internacional,"López, FE; Rodríguez, BA; Reyes-Gómez, E; Oliveira, LE; ",Journal of Physics-Condensed Matter,20,175204,0953-8984,The electron g factor of cylindrical GaAs–Ga1− xAlxAs quantum well wires under magnetic fields applied along the wire axis,,,GFAM: Grupo de Física Atómica y Molecular; GES: Estado Sólido,Not DOI,,,Rodríguez Rey Boris Anghelo; Reyes Gómez Ernesto Amador,A1,"1,9",,-1
2007,Internacional,"Vinck-Posada, Herbert; Rodriguez, Boris A; Guimaraes, PSS; Cabo, Alejandro; Gonzalez, Augusto; ",Physical Review Letters,98,167405,0031-9007,Photon emission as a source of coherent behavior of polaritons,,,GFAM: Grupo de Física Atómica y Molecular,10.1103/PhysRevLett.98.167405,,,Rodríguez Rey Boris Anghelo,A1,"7,18",,-1
1996,Internacional,"González, Augusto; Quiroga, Luis; Rodriguez, Boris A; ",Few-Body Systems,21,47,0177-7963,Planar three-body problem with Calogero interactions and a magnetic field,,,GES: Estado Sólido; GFAM: Grupo de Física Atómica y Molecular,Not DOI,,,Girata Doris; Rodríguez Rey Boris Anghelo,A2,"1,014",,15
2009,Internacional,"Vera, Carlos A; Vinck-Posada, Herbert; ",Journal of Physics-Condensed Matter,21,395603,0953-8984,Characterization of dynamical regimes and entanglement sudden death in a microcavity quantum dot system,,,,10.1088/0953-8984/21/39/395603,,,,A1,"1,9",,-1
2000,Internacional,"Rodriguez, Boris A; Gonzalez, Augusto; Quiroga, Luis; Rodriguez, Ferney J; Capote, Roberto; ",International Journal of Modern Physics B,14,71,0217-9792,CROSSOVER BETWEEN THE ELECTRON–HOLE PHASE AND THE BCS EXCITONIC PHASE IN QUANTUM DOTS,,,GFAM: Grupo de Física Atómica y Molecular,10.1142/s0217979200000078,,,Rodríguez Rey Boris Anghelo,A1,"0,558",,13
2008,Internacional,"Rueda, Edgar; Vera, Carlos A; Rodríguez, Boris; Torroba, Roberto; ",Optics Communications,281,5750,0030-4018,Synchronized chaotic phase masks for encrypting and decrypting images,,,GOF: Grupo Óptica y Fotónica,10.1016/j.optcom.2008.09.002,,,Rueda Muñoz Edgar Alberto,A1,"1,552",,6
2001,Internacional,"Rodriguez, Boris Anghelo; Gonzalez, Augusto; ",Physical Review B,63,205324,1098-0121,Spin polarization and magnetoluminescence of confined electron-hole systems,,,GFAM: Grupo de Física Atómica y Molecular,10.1103/PhysRevB.63.205324,,,Rodríguez Rey Boris Anghelo,A1,"3,322",,-1
2008,Internacional,"Silva, AG; Parra-Murillo, CA; Valentim, PT; Morais, JS; Plentz, F; Guimaraes, Paulo S; Vinck-Posada, H; Rodriguez, BA; Skolnick, MS; Tahraoui, A; ",Optics Express,16,19201,1094-4087,Quantum dot dipole orientation and excitation efficiency of micropillar modes,,,GFAM: Grupo de Física Atómica y Molecular,10.1364/OE.16.019201,,,Rodríguez Rey Boris Anghelo,A1,"3,88",,7
2011,Internacional,"Cárdenas, Paulo C; Quesada, Nicolás; Vinck-Posada, Herbert; Rodríguez, Boris A; ",Journal of Physics-Condensed Matter,23,265304,0953-8984,Strong coupling of two interacting excitons confined in a nanocavity–quantum dot system,,,GFAM: Grupo de Física Atómica y Molecular,10.1088/0953-8984/23/26/265304,,,Rodríguez Rey Boris Anghelo,A1,"2,332",,-1
2005,Internacional,"Vinck-Posada, Herbert; Rodriguez, Boris A; Gonzalez, Augusto; ",Physica E: Low-Dimensional Systems and Nanostructures,27,427,1386-9477,Mean-field dynamics of a quantum dot-microcavity system,,,GFAM: Grupo de Física Atómica y Molecular,10.1016/j.physe.2005.01.005,,,Rodríguez Rey Boris Anghelo,A1,"1,23",,12
2010,Internacional,"Quesada, Nicolás; Vinck-Posada, Herbert; Rodríguez, Boris A; ",Journal of Physics-Condensed Matter,23,025301,0953-8984,Density operator of a system pumped with polaritons: a Jaynes–Cummings-like approach,,,GFAM: Grupo de Física Atómica y Molecular,10.1088/0953-8984/23/2/025301,,,Rodríguez Rey Boris Anghelo,A1,"1,964",,-1
2009,Internacional,"Mondragon-Shem, Ian; Rodriguez, Boris A; Lopez, Francisco E; ",Journal of Physics: Conference Series,193,012133,1742-6588,Coulomb correlations of a few body system of spatially separated charges,,,GFAM: Grupo de Física Atómica y Molecular,10.1088/1742-6596/193/1/012133,,,Rodríguez Rey Boris Anghelo,C,"-1,0",,-1
2010,Internacional,"Mondragon-Shem, Ian; Rodriguez, Boris A; Wu, Congjun; ",APS Meeting Abstracts,1,31011,0000-0000,Unconventional Bose-Einstein condensation with Rashba coupling in optical lattices,,,GFAM: Grupo de Física Atómica y Molecular,Not DOI,,,Rodríguez Rey Boris Anghelo,00,"-1,0",,-1
2011,Internacional,"Carrillo, A; Rodríguez, BA; ",Journal of Physics: Conference Series,285,012033,1742-6588,Self-organization and pattern formation in coupled Lorenz oscillators under a discrete symmetric transformation,,,GFAM: Grupo de Física Atómica y Molecular,10.1088/1742-6596/285/1/012033,,,Rodríguez Rey Boris Anghelo,C,"-1,0",,-1
2011,Internacional,"Cirot, David; Rodríguez, Boris A; ",Journal of Physics: Conference Series,285,012037,1742-6588,A novel cell-coupling leading to nonlocal interactions,,,GFAM: Grupo de Física Atómica y Molecular,10.1088/1742-6596/285/1/012037,,,Rodríguez Rey Boris Anghelo,C,"-1,0",,-1
2005,Internacional,"Rodriguez, Boris A; Gonzalez, Augusto; ",Physica E: Low-Dimensional Systems and Nanostructures,27,129,1386-9477,Effects of Coulomb interactions on the splitting of luminescence lines,,,GFAM: Grupo de Física Atómica y Molecular,10.1016/j.physe.2004.10.015,,,Rodríguez Rey Boris Anghelo,A1,"1,23",,11
2009,Nacional,"López, FE; Rodríguez, BA; ",Revista Colombiana de Física,41,572,0120-2650,Energía del Estado Base para un Sistema Finito de Excitones Espacialmente Indirectos en Puntos Cuánticos,,,GFAM: Grupo de Física Atómica y Molecular,Not DOI,,,Rodríguez Rey Boris Anghelo,B,"-1,0",,4
2010,Internacional,"Mondragon-Shem, Ian; Rodríguez, Boris A; López, Francisco E; ",Computer Physics Communications,181,1510,0010-4655,Efficient calculation of Coulomb matrix elements for bilayers of confined charge carriers with arbitrary spatial separation,,,GFAM: Grupo de Física Atómica y Molecular,10.1016/j.cpc.2010.05.001,,,Rodríguez Rey Boris Anghelo,A1,"1,958",,7
2010,Internacional,"Restrepo, J; Vinck, H; Fonseca, KM; Rodriguez, BA; Caldas, Mari´ lia; Studart, Nelson; ",AIP Conference Proceedings,1199,379,0094-243X,Effects of dissipation on the time evolution of coherence and entanglement of a two-quantum dot system in a microcavity,,,MS: Magnetismo y Simulación; GFAM: Grupo de Física Atómica y Molecular,10.1063/1.3295460,,,Restrepo Cárdenas Johans; Rodríguez Rey Boris Anghelo,C,"-1,0",,-1
2008,Internacional,"Vinck-Posada, Herbert; Rodriguez, Boris A; Gonzalez, Augusto; ",Superlattices and Microstructures,43,500,0749-6036,Micropillar resonator in a magnetic field: Zero and finite temperature cases,,,GFAM: Grupo de Física Atómica y Molecular,10.1016/j.spmi.2007.07.023,,,Rodríguez Rey Boris Anghelo,A2,"-1,0",,7
2008,Internacional,"Restrepo, Juan P; Vinck-Posada, Herbert; Rodríguez, Boris A; ",Microelectronics Journal,39,1360,0026-2692,Wigner function and decoherence in a microcavity-Qdot system,,,GFAM: Grupo de Física Atómica y Molecular,10.1016/j.mejo.2008.01.089,,,Rodríguez Rey Boris Anghelo,A2,"0,859",,3
2009,Nacional,"López, FE; Rodríguez, BA; Gómez, E Reyes; Oliveira, LE; ",Revista Colombiana de Física,41,47,0120-2650,Efectos de no Parabolicidad y Anisotropía Sobre los Estados Electrónicos y el Factor g Efectivo en Hilos Cuánticos,,,GFAM: Grupo de Física Atómica y Molecular,Not DOI,,,Rodríguez Rey Boris Anghelo,B,"-1,0",,4
2000,Internacional,"Mira, Jesús M; Nardi, Enrico; Restrepo, DA; Valle, JWF; ",Physics Letters B,492,81,0370-2693,Bilinear R-parity violation and small neutrino masses: a self-consistent framework,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1016/S0370-2693(00)01067-4,,,Nardi Enrico; Restrepo Quintero Diego Alejandro,A1,"4,034",,10
2008,Internacional,"Lari, Tommaso; Pape, L; Porod, W; Aguilar-Saavedra, JA; Allanach, BC; Burdman, G; Castro, N; Klasen, M; Krasnikov, N; Krauss, F; ",European Physical Journal C,57,183,1434-6044,Collider aspects of flavor physics at high Q,,,,Not DOI,,,,A1,"2,805",,125
2005,Internacional,"De Campos, F; Eboli, OJP; Magro, MB; Porod, Werner; Restrepo, Diego; Valle, JWF; ",Physical Review D,71,075001,1550-7998,Probing neutrino mass with displaced vertices at the Fermilab Tevatron,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.71.075001,,,Restrepo Quintero Diego Alejandro,A1,"5,05",,-1
2005,Internacional,"Hirsch, Martin; Porod, Werner; Restrepo, Diego; ",Journal of High Energy Physics,2005,062,1126-6708,Collider signals of gravitino dark matter in bilinearly broken R-parity,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1126-6708/2005/03/062,,,Restrepo Quintero Diego Alejandro,A1,"5,375",,-1
2009,Internacional,"Sierra, D Aristizabal; Kubo, Jisuke; Suematsu, Daijiro; Restrepo, D; Zapata, Oscar; ",Physical Review D,79,013011,1550-7998,"Radiative seesaw model: Warm dark matter, collider signatures, and lepton flavor violating signals",,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.79.013011,,,Restrepo Quintero Diego Alejandro; Zapata Noreña Oscar,A1,"5,05",,-1
2000,Internacional,"Mira, Jesus M; Nardi, Enrico; Restrepo, Diego A; ",Physical Review D,62,016002,1550-7998,Nonanomalous horizontal U (1) H gauge model of flavor,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.62.016002,,,Nardi Enrico,A1,"5,05",,-1
2008,Internacional,"De Campos, F; Eboli, Oscar Jose Pinto; Magro, Mauricio Bernardino; Porod, Werner; Restrepo, Diego; Hirsch, Martin; Valle, JWF; ",Journal of High Energy Physics,2008,048,1126-6708,Probing bilinear R-parity violating supergravity at the LHC,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1126-6708/2008/05/048,,,Restrepo Quintero Diego Alejandro,A1,"5,375",,-1
2003,Internacional,"Hirsch, Martin; Nardi, Enrico; Restrepo, Diego; ",Physical Review D,67,033005,1550-7998,Bounds on the tau and muon neutrino vector and axial vector charge radius,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.67.033005,,,Nardi Enrico; Restrepo Quintero Diego Alejandro,A1,"5,05",,-1
2010,Internacional,"Choi, Ki-Young; Restrepo, Diego; Yaguna, Carlos E; Zapata, Oscar; ",Journal of Cosmology and Astroparticle Physics,2010,033,1475-7516,Indirect detection of gravitino dark matter including its three-body decays,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1475-7516/2010/10/033,,,Restrepo Quintero Diego Alejandro; Zapata Noreña Oscar,A1,"6,502",,-1
