Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages
2005,Internacional,"Filippi, Simonetta; Ponce, William A; Sánchez, Luis A; ",EPL,73,142,1286-4854,Dark matter from the scalar sector of 3-3-1 models without exotic electric charges,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i2005-10349-x,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1
2006,Internacional,"Gutierrez, Diego A; Ponce, William A; Sanchez, Luis A; ",European Physical Journal C,46,497,1434-6044,Phenomenology of the SU (3) _c\ otimes SU (3) _L\ otimes U (1) _X model with right-handed neutrinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s2006-02513-y,,,Ponce Gutiérrez William Alberto,A1,"2,805",,13
2008,Internacional,"Herrera, Johana A; Benavides, Richard H; Ponce, William A; ",Physical Review D,78,073008,1550-7998,Flavor changing neutral currents with a fourth family of quarks,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.78.073008,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
1993,Internacional,"Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,48,240,1550-7998,Tuning [SU (6)] 3× Z 3,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.48.240,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
2007,Internacional,"Salazar, Juan C; Ponce, William A; Gutiérrez, Diego A; ",Physical Review D,75,075016,1550-7998,Phenomenology of the SU (3)_c X SU (3)_L X U (1)_X model with exotic charged leptons,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
2005,Internacional,"Fanchiotti, H; Garcia-Canal, C; Ponce, WA; ",EPL,72,733,1286-4854,Quark masses without Yukawa hierarchies,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i2005-10313-x,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1
1994,Internacional,"Ponce, William A; Zepeda, Arnulfo; ",Zeitschrift für Physik C,63,339,0170-9739,An [SU (6)] 4 flavor model without mirror fermions,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/BF01411026,,,Ponce Gutiérrez William Alberto,C,"-1,0",,5
1998,Internacional,"Perez-Lorenzana, Abdel; Zepeda, Arnulfo; Ponce, William A; ",Modern Physics Letters A,13,2153,0217-7323,Non-Susy and Susy One-Step Unification,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"1,334",,10
2006,Internacional,"Ponce, William A; Zapata, Oscar; ",Physical Review D,74,093007,1550-7998,Lepton masses and mixing without Yukawa hierarchies,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.74.093007,,,Ponce Gutiérrez William Alberto; Zapata Noreña Oscar,A1,"5,05",,-1
1995,Internacional,"Gaitan-Lozano, Ricardo; Hernandez-Galeana, Albino; Tomas, Sergio A; Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,51,6474,1550-7998,Signals of extra gauge bosons and exotic leptons in SU (6) L⊗ U (1) Y,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.51.6474,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
1997,Internacional,"Perez-Lorenzana, Abdel; Ponce, William A; Zepeda, Arnulfo; ",EPL,39,141,1286-4854,One-step non-SUSY unification,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i1997-00327-4,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1
1999,Internacional,"Pérez-Lorenzana, Abdel; Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,59,116004,1550-7998,Non-SUSY unification in left-right models,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.59.116004,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
2000,Internacional,"Perez-Lorenzana, Abdel; Ponce, William A; ",EPL,49,296,1286-4854,GUTs and string-GUTs,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i2000-00148-y,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1
1987,Internacional,"Ponce, William A; ",Physical Review D,36,962,1550-7998,Anomaly-free version of SU (2) U (1) U (1)’,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.36.962,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
2001,Internacional,"Martinez, R; Ponce, William A; Sanchez, Luis A; ",Physical Review D,64,075013,1550-7998,SU (3) c⊗ SU (3) L⊗ U (1) X as an E6 subgroup,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
1994,Internacional,"Flórez, Juan B; Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,49,4958,1550-7998,Mass scales and stability of the proton in [SU (6)] 3× Z 3,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.49.4958,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
1996,Internacional,"Ponce, William A; Zepeda, Arnulfo; Mira, Jesús M; ",Zeitschrift für Physik C,69,683,0170-9739,Is U (1) H a good family symmetry?,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/bf02907452,,,Ponce Gutiérrez William Alberto,C,"-1,0",,4
1980,Internacional,"Ponce, William A; ",Physical Review D,22,1142,1550-7998,Quark diagrams and the Ω− nonleptonic decays,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.22.1142,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
2005,Internacional,"Sánchez, Luis A; Ponce, William A; Mira, Jesús M; ",European Physical Journal C,42,205,1434-6044,Hierarchical radiative masses in a supersymmetric three-family model without higgsinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s2005-02286-9,,,Ponce Gutiérrez William Alberto,A1,"2,805",,11
1999,Internacional,"Pérez-Lorenzana, Abdel; Ponce, William A; ",Physics Letters B,464,77,0370-2693,An [SU (3)] 4 supersymmetric grand unified model,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1016/s0370-2693(99)01040-0,,,Ponce Gutiérrez William Alberto,A1,"4,034",,5
1992,Internacional,"Hernández-Galeana, Albino; Ponce, William A; Zepeda, Arnulfo; ",Zeitschrift für Physik C,55,423,0170-9739,Family unification in SU (6) L X U (1) Y,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,C,"-1,0",,12
2009,Internacional,"Benavides, Richard H; Giraldo, Yithsbey; Ponce, William A; ",Physical Review D,80,113009,1550-7998,Flavor changing neutral currents in the 3-3-1 model with right-handed neutrinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.80.113009,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
1997,Internacional,"Epele, LN; Canal, CA García; Ponce, William A; ",Physics Letters B,411,159,0370-2693,On charge quantization and abelian gauge horizontal symmetries,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1016/S0370-2693(97)00992-1,,,Ponce Gutiérrez William Alberto,A1,"4,034",,8
1997,Internacional,"Ponce, William A; Wills, Luis A; Zepeda, Arnulfo; ",Zeitschrift für Physik C,73,711,0170-9739,Systematic study of horizontal gauge theories,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/s002880050364,,,Ponce Gutiérrez William Alberto,C,"-1,0",,10
2009,Internacional,"Giraldo, Yithsbey; Ponce, William A; Sánchez, Luis A; ",European Physical Journal C,63,461,1434-6044,Stability of the scalar potential and symmetry breaking in the economical 3-3-1 model,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s10052-009-1101-4,,,Ponce Gutiérrez William Alberto,A1,"2,805",,15
1997,Internacional,"Perez-Lorenzana, A; Jaramillo, DE; Ponce, WA; Zepeda, A; ",Revista Mexicana de Fisica,43,737,0035-001X,Symmetry Breaking in $[SU (6)]^ 3 x Z_3$,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Jaramillo Arango Daniel E.; Ponce Gutiérrez William Alberto,A1,"-1,0",,-1
2003,Internacional,"Mira, Jesús M; Ponce, William A; Restrepo, Diego A; Sánchez, Luis A; ",Physical Review D,67,075002,1550-7998,Supersymmetric one-family model without Higgsinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.67.075002,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1
1988,Internacional,"Ponce, WA; Zepeda, A; ",Zeitschrift für Physik C,39,377,0170-9739,SU (7) Electroweak unification,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/BF01548288,,,Ponce Gutiérrez William Alberto,C,"-1,0",,4
2011,Internacional,"Ponce, William A; Benavides, Richard H; ",European Physical Journal C,71,1641,1434-6044,Texture zeros for the Standard Model quark mass matrices,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s10052-011-1641-2,,,Ponce Gutiérrez William Alberto,A1,"3,248",,-1
2004,Nacional,"Ponce, William A; ","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",28,363,0370-3908,EL PRINCIPIO DE MAUPERTUIS. UN ENSAYO PARA UNA ACADEMIA,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A2,"-1,0",,7
